更新时间,#genre#
20250412 02:30:16,https://v.cdnlz12.com/20250131/18183_a5e8965b/index.m3u8
每日一首,http://em.21dtv.com/songs/60008213.mkv


💓组播专享频道,#genre#
央视频道,#genre#
CCTV1,http://111.167.226.225:8888/udp/225.1.1.120:5002$IPV4『线路1』
CCTV1,http://60.223.72.7:8004/udp/226.0.2.18:8056$IPV4『线路2』
CCTV1,http://1.58.247.185:4001/udp/229.58.190.151:5000$IPV4『线路3』
CCTV1,http://1.58.247.185:4001/udp/229.58.190.129:5000$IPV4『线路4』
CCTV1,http://27.11.195.45:8003/udp/225.0.4.74:7980$IPV4『线路5』
CCTV1,http://223.145.224.89:8000/udp/239.76.253.151:9000$IPV4『线路6』
CCTV1,http://223.145.224.89:8000/udp/239.76.246.151:1234$IPV4『线路7』
CCTV1,http://223.145.224.122:8000/udp/239.76.253.151:9000$IPV4『线路8』
CCTV1,http://223.145.224.122:8000/udp/239.76.252.51:9000$IPV4『线路9』
CCTV1,http://223.145.224.89:8000/udp/239.76.252.51:9000$IPV4『线路10』
CCTV1,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000099000000197683/main.m3u8?stbid=$IPV4『线路11』
CCTV1,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000000000000020000000000182562/main.m3u8?stbid=$IPV4『线路12』
CCTV2,http://111.167.226.225:8888/udp/225.1.1.133:5002$IPV4『线路1』
CCTV2,http://60.223.72.7:8004/udp/226.0.2.19:8064$IPV4『线路2』
CCTV2,http://1.58.247.185:4001/udp/229.58.190.153:5000$IPV4『线路3』
CCTV2,http://1.58.247.185:4001/udp/229.58.190.130:5000$IPV4『线路4』
CCTV2,http://27.11.195.45:8003/udp/225.0.4.132:7980$IPV4『线路5』
CCTV2,http://223.145.224.89:8000/udp/239.76.253.152:9000$IPV4『线路6』
CCTV2,http://223.145.224.89:8000/udp/239.76.246.152:1234$IPV4『线路7』
CCTV2,http://223.145.224.122:8000/udp/239.76.252.52:9000$IPV4『线路8』
CCTV2,http://223.145.224.122:8000/udp/239.76.246.152:1234$IPV4『线路9』
CCTV2,http://223.145.224.89:8000/udp/239.76.252.52:9000$IPV4『线路10』
CCTV2,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000099000000197684/main.m3u8?stbid=$IPV4『线路11』
CCTV2,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000000000000020000000000182301/main.m3u8?stbid=$IPV4『线路12』
CCTV3,http://111.167.226.225:8888/udp/225.1.1.158:5002$IPV4『线路1』
CCTV3,http://60.223.72.7:8004/udp/226.0.2.20:8072$IPV4『线路2』
CCTV3,http://1.58.247.185:4001/udp/229.58.190.24:5000$IPV4『线路3』
CCTV3,http://27.11.195.45:8003/udp/225.0.4.142:7980$IPV4『线路4』
CCTV3,http://223.145.224.89:8000/udp/239.76.246.153:1234$IPV4『线路5』
CCTV3,http://223.145.224.89:8000/udp/239.76.253.153:9000$IPV4『线路6』
CCTV3,http://223.145.224.122:8000/udp/239.76.253.153:9000$IPV4『线路7』
CCTV3,http://223.145.224.122:8000/udp/239.76.246.153:1234$IPV4『线路8』
CCTV3,http://223.145.224.89:8000/udp/239.76.252.53:9000$IPV4『线路9』
CCTV3,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000099000000197685/main.m3u8?stbid=$IPV4『线路10』
CCTV3,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047455/main.m3u8?stbid=$IPV4『线路11』
CCTV4,http://111.167.226.225:8888/udp/225.1.1.150:5002$IPV4『线路1』
CCTV4,http://60.223.72.7:8004/udp/226.0.2.21:8080$IPV4『线路2』
CCTV4,http://1.58.247.185:4001/udp/229.58.190.131:5000$IPV4『线路3』
CCTV4,http://27.11.195.45:8003/udp/225.0.4.176:7980$IPV4『线路4』
CCTV4,http://223.145.224.89:8000/udp/239.76.246.154:1234$IPV4『线路5』
CCTV4,http://223.145.224.122:8000/udp/239.76.245.195:1234$IPV4『线路6』
CCTV4,http://223.145.224.122:8000/udp/239.76.246.154:1234$IPV4『线路7』
CCTV4,http://223.145.224.89:8000/udp/239.76.245.195:1234$IPV4『线路8』
CCTV4,http://223.145.224.89:8000/udp/239.76.253.154:9000$IPV4『线路9』
CCTV4,http://223.145.224.89:8000/udp/239.76.252.54:9000$IPV4『线路10』
CCTV4,http://223.145.224.122:8000/udp/239.76.253.154:9000$IPV4『线路11』
CCTV4,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000099000000197688/main.m3u8?stbid=$IPV4『线路12』
CCTV4,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000000000000020000000000181629/main.m3u8?stbid=$IPV4『线路13』
CCTV4K,http://223.145.224.122:8000/udp/239.76.254.101:9000$IPV4『线路1』
CCTV4K,http://223.145.224.89:8000/udp/239.76.254.101:9000$IPV4『线路2』
CCTV4K,http://tvgslb.hn.chinamobile.com:8089/180000001002/32023092211020848462000290559536/main.m3u8?stbid=$IPV4『线路3』
CCTV4中文国际欧洲,http://223.145.224.89:8000/udp/239.76.246.95:1234$IPV4『线路1』
CCTV4中文国际欧洲,http://223.145.224.122:8000/udp/239.76.246.95:1234$IPV4『线路2』
CCTV4中文国际美洲,http://223.145.224.89:8000/udp/239.76.246.96:1234$IPV4『线路1』
CCTV4中文国际美洲,http://223.145.224.122:8000/udp/239.76.246.96:1234$IPV4『线路2』
CCTV5,http://111.167.226.225:8888/udp/225.1.1.160:5002$IPV4『线路1』
CCTV5,http://60.223.72.7:8004/udp/226.0.2.22:8088$IPV4『线路2』
CCTV5,http://1.58.247.185:4001/udp/229.58.190.60:5000$IPV4『线路3』
CCTV5,http://1.58.247.185:4001/udp/229.58.190.32:5000$IPV4『线路4』
CCTV5,http://27.11.195.45:8003/udp/225.0.4.143:7980$IPV4『线路5』
CCTV5,http://223.145.224.89:8000/udp/239.76.246.155:1234$IPV4『线路6』
CCTV5,http://223.145.224.122:8000/udp/239.76.246.155:1234$IPV4『线路7』
CCTV5,http://223.145.224.89:8000/udp/239.76.253.155:9000$IPV4『线路8』
CCTV5,http://223.145.224.89:8000/udp/239.76.252.55:9000$IPV4『线路9』
CCTV5,http://223.145.224.122:8000/udp/239.76.253.155:9000$IPV4『线路10』
CCTV5,http://223.145.224.122:8000/udp/239.76.252.55:9000$IPV4『线路11』
CCTV5,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000099000000197689/main.m3u8?stbid=$IPV4『线路12』
CCTV5,http://tvgslb.hn.chinamobile.com:8089/180000001002/00000001000000000008000000047456/main.m3u8?stbid=$IPV4『线路13』
CCTV5+,http://111.167.226.225:8888/udp/225.1.1.121:5002$IPV4『线路1』
CCTV5+,http://1.58.247.185:4001/udp/229.58.190.154:5000$IPV4『线路2』
CCTV5+,http://27.11.195.45:8003/udp/225.0.4.73:7980$IPV4『线路3』
