更新时间,#genre#
20241113-17-46-38,url


blacklist,#genre#
2021年最劲爆的dj歌曲 全中文舞曲串烧-2021夜店混音FHD,https://vdse.bdstatic.com//02a4b136a5e939a0401fc1b58eec7831.mp4
2021火爆女生版伤感DJ情歌FHD,https://vdse.bdstatic.com//8fe197e92568201d4899dfd3d94585a7.mp4
4K_修复「IPV6」,http://[2409:8087:2001:20:2800:0:df6e:eb15]/ott.mobaibox.com/PLTV/3/224/3221228141/index.m3u8
5首伤感情歌DJ,https://vdse.bdstatic.com//a34f76474b9bdfca8c487761861fb603.mp4
83射雕英雄传,http://43.138.170.29:35455/yy/1354210357
83射雕英雄传,http://cfss.cc/cdn/yy/1354210357.m3u8
83射雕英雄传,https://live.metshop.top/yy/1354210357
8K测试「IPV6」,http://[2409:8087:2001:20:2800:0:df6e:eb04]/ott.mobaibox.com/PLTV/3/224/3221228132/index.m3u8
AMC电影,http://tw.ts138.top/4g/?id=4gtv-4gtv017
Ando TV (576p),http://119.1.122.186:4022/rtp/238.255.2.189:5999
BBC Earth,mitv://generationnexxxt.com:19806/49261fefe28441bea7b775cc44fa16b5
BBC Lifestyle,mitv://generationnexxxt.com:19806/178e533979bb4ec3af9190ca475f23ef
BBC World News,mitv://generationnexxxt.com:19806/ecc7214268ee448ab42b65d9f2e2663a
BBC,http://38.96.178.201:80/live/BBCAmerica/index.m3u8
BBC,https://jmp2.uk/SamsungTVPlus/US4000033L.m3u8
BRTV Kaku Childrens Channel,http://223.111.191.105/downflv.brtvcloud.com/kkkkasd/winfr.m3u8
BRTV Kaku Childrens Channel,http://49.113.179.174:4022/udp/238.125.2.216:5140
BRTV Science & Education Channel,http://49.113.179.174:4022/udp/238.125.3.121:5140
Beijing Traffic Radio TV [Geo-blocked],http://123.56.24.28:1935/live/fm1039/96K/tzwj_video.m3u8
Beijing Youth Radio [Geo-blocked],http://audiolive.rbc.cn:1935/live/am927/96K/tzwj_video.m3u8
Bingtuan Satellite TV,http://49.113.179.174:4022/udp/238.125.4.13:5140
CCTV 10 科教「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010203/1.m3u8
CCTV 11 戏曲「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010092/1.m3u8
CCTV 12 社会与法「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010205/1.m3u8
CCTV 13 新闻「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010093/1.m3u8
CCTV 14 少儿「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010207/1.m3u8
CCTV 15 音乐「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010094/1.m3u8
CCTV 16 奥林匹克「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010142/1.m3u8
CCTV 17 农村农业「IPV6」,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010210/1.m3u8
CCTV TV Guide (576p),http://117.161.133.51:81/gitv_live/G_DIANSHIZN-CQ/G_DIANSHIZN-CQ.m3u8?p=GITV
CCTV 世界地理,http://117.161.133.51:81/gitv_live/G_SHIJIEDL-CQ/G_SHIJIEDL-CQ.m3u8?p=GITV
CCTV 兵器科技,http://117.161.133.51:81/gitv_live/G_BINGQIKJ-CQ/G_BINGQIKJ-CQ.m3u8?p=GITV
CCTV 央视台球,http://117.161.133.51:81/gitv_live/G_TAIQIU-CQ/G_TAIQIU-CQ.m3u8?p=GITV
CCTV 央视精品,http://117.161.133.51:81/gitv_live/G_CCTV-WENHUA-CQ/G_CCTV-WENHUA-CQ.m3u8?p=GITV
CCTV 女性时尚,http://117.161.133.51:81/gitv_live/G_NVXINGSS-CQ/G_NVXINGSS-CQ.m3u8?p=GITV
CCTV 第一剧场,http://117.161.133.51:81/gitv_live/G_DIYIJC-CQ/G_DIYIJC-CQ.m3u8?p=GITV
CCTV 风云剧场,http://117.161.133.51:81/gitv_live/G_FENGYUNJC-CQ/G_FENGYUNJC-CQ.m3u8?p=GITV
CCTV 风云足球,http://117.161.133.51:81/gitv_live/G_FENGSHANGZQ-CQ/G_FENGSHANGZQ-CQ.m3u8?p=GITV
CCTV 风云音乐,http://117.161.133.51:81/gitv_live/G_FENGYUNYY-CQ/G_FENGYUNYY-CQ.m3u8?p=GITV
CCTV 高尔夫网球,http://117.161.133.51:81/gitv_live/G_CCTV-GOLF-CQ/G_CCTV-GOLF-CQ.m3u8?p=GITV
CCTV-4K 超高清,http://[2409:8087:2001:20:2800:0:df6e:eb13]:80/ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
CCTV-HD世界地理,http://218.68.54.141:8888/udp/225.1.2.171:5002
CCTV-HD兵器科技,http://218.68.54.141:8888/udp/225.1.2.166:5002
CCTV-HD央视台球,http://218.68.54.141:8888/udp/225.1.2.170:5002
CCTV-HD央视文化精品,http://218.68.54.141:8888/udp/225.1.2.177:5002
CCTV-HD女性时尚,http://218.68.54.141:8888/udp/225.1.2.172:5002
CCTV-HD怀旧剧场,http://218.68.54.141:8888/udp/225.1.2.173:5002
CCTV-HD电视指南,http://218.68.54.141:8888/udp/225.1.2.167:5002
CCTV-HD第一剧场,http://218.68.54.141:8888/udp/225.1.2.175:5002
CCTV-HD风云剧场,http://218.68.54.141:8888/udp/225.1.2.174:5002
CCTV-HD风云足球,http://218.68.54.141:8888/udp/225.1.2.168:5002
CCTV-HD风云音乐,http://218.68.54.141:8888/udp/225.1.2.176:5002
CCTV-HD高尔夫网球,http://218.68.54.141:8888/udp/225.1.2.169:5002
CCTV-中学生,http://121.24.99.168:8090/hls/24/index.m3u8
CCTV-高尔夫-网球,http://111.123.105.133:8881/rtp/238.255.2.223:5999
CCTV04,http://113.13.243.53:4022/udp/239.81.0.96:4056
CCTV04,http://114.246.97.142:4000/rtp/239.3.1.105:8092
CCTV04,http://118.255.77.14:8887/udp/239.76.253.154:9000
CCTV04,http://118.81.107.31:9999/tsfile/live/0004_1.m3u8
CCTV04,http://171.213.129.144:4022/udp/239.93.1.105:5140
CCTV04,http://27.151.176.131:4022/rtp/239.61.2.206:9224
