更新时间,#genre#
20250607-17-39-28,url


RespoTime,whitelist,#genre#
14.67ms,北京财经,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=btv5&videoTVChannel=btv5&P2PChannelID=pd://cctv_p2p_hdbtv5&tai=btv5&VideoName=btv5&channelID=btv5
35.82ms,新加坡国际,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
36.38ms,CNA新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
36.43ms,2020年春晚,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzA5NDdfNDAzMDAxOTlfNjYxNzQ2MDAyMTFfMF8z_b_B5d51d9564c5670dc66faeba20aa7af3f.mp4
36.67ms,北京青年,http://player.cntv.cn/standard/live_HLSDRM20180919.swf?v=180.171.5.8.9.6.3.9&ChannelID=btv8&videoTVChannel=btv8&P2PChannelID=pd://cctv_p2p_hdbtv8&tai=btv8&VideoName=btv8&channelID=btv8
46.16ms,北京生活,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=btv7&videoTVChannel=btv7&P2PChannelID=pd://cctv_p2p_hdbtv7&tai=btv7&VideoName=btv7&channelID=btv7
46.48ms,开化国家公园,http://l.cztvcloud.com/channels/lantian/SXkaihua2/720p.m3u8zzhed
50.53ms,上虞新闻综合,http://l.cztvcloud.com/channels/lantian/SXshangyu1/720p.m3u8
50.92ms,BBC,http://38.96.178.201:80/live/BBCAmerica/index.m3u8
51.36ms,CNN,http://38.96.178.201:80/live/CNNHD/index.m3u8
51.36ms,余姚姚江文化,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8zzhed
52.37ms,上虞文化影院,http://l.cztvcloud.com/channels/lantian/SXshangyu2/720p.m3u8zzhed
54.37ms,新加坡国际,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
57.48ms,广东珠江,https://cdn2.163189.xyz/live/gdzj/stream.m3u8
67.71ms,北京科教,http://player.cntv.cn/standard/live_HLSDRM20180606.swf?ChannelID=btv3&P2PChannelID=pd://cctv_p2p_hdbtv3
73.82ms,CCTV1-综合,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
81.37ms,嵊州公共新闻综合,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
82.35ms,2022年春晚,http://txmov2.a.kwimgs.com/upic/2022/02/01/11/BMjAyMjAyMDExMTEwMjNfNDAzMDAxOTlfNjYzNzA4MTk4NzNfMF8z_b_B898cc7ddd0025bf54ddb18ec1f723c84.mp4
85.16ms,北京新闻,http://player.cntv.cn/standard/live_HLSDRM20180524.swf?ChannelID=btv9&videoTVChannel=btv9&P2PChannelID=pd://cctv_p2p_hdbtv9&tai=btv9&VideoName=btv9&channelID=btv9
91.03ms,CCTV6-电影,https://api.olelive.com/dis/live/CCTV6HD/hls.m3u8
91.95ms,江苏卫视,https://txmov2.a.kwimgs.com/upic/2023/02/07/12/BMjAyMzAyMDcxMjQ3NDlfNzM5MzQzNzIyXzk1NjcxMTk5ODM5XzBfMw==_b_Bb92095c7df3c98b458dd14abf1d4b575.mp4
91.96ms,广东卫视,https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4
93.08ms,2010年春晚,https://txmov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQ0MjlfMF8z_b_B8818807a00eed329a69fb494f405bd43.mp4
93.67ms,湖南卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8
95.40ms,2014年春晚,https://txmov2.a.kwimgs.com/upic/2023/01/06/16/BMjAyMzAxMDYxNjMxMTNfNDAzMDAxOTlfOTI4OTY2ODAzNjlfMF8z_b_Bdee65c77f9e7b2120a185c919dad81d2.mp4
99.01ms,台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
99.61ms,深圳卫视,http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8
101.00ms,2020年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5248101009010430183_hlshd15.m3u8
101.00ms,龙华戏剧,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
102.07ms,TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
102.89ms,华语电视2,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
102.91ms,TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
103.08ms,东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8
103.49ms,CCTV13-新闻,https://smart.pendy.dpdns.org/Smart.php?id=cctv13
103.64ms,TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
105.58ms,TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
105.99ms,TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
106.75ms,2020年春晚,https://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzA5NDdfNDAzMDAxOTlfNjYxNzQ2MDAyMTFfMF8z_b_B5d51d9564c5670dc66faeba20aa7af3f.mp4
107.79ms,CCTV1-综合,https://smart.pendy.dpdns.org/Smart.php?id=cctv1
107.89ms,华语电视3,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
108.42ms,TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8?
109.16ms,2021年春晚,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzE4NTJfNDAzMDAxOTlfNjYxNzUzOTg3NjlfMF8z_b_Be41d9503181d7b0608a839ed401e02c2.mp4
109.88ms,TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8?
115.55ms,2019年春晚,https://txmov2.a.kwimgs.com/upic/2023/01/06/16/BMjAyMzAxMDYxNjMxMTRfNDAzMDAxOTlfOTI4OTY2ODE2MTBfMF8z_b_B11a778e34390a21de42d407e94f45b91.mp4
117.77ms,2023年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5251197255879398624_hlshd15.m3u8
120.79ms,CCTV1-综合,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
124.57ms,1998年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5225864507896315430_hlshd15.m3u8
137.50ms,龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
143.61ms,2009年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5210946337266019890_hlshd15.m3u8
144.33ms,半·新闻,http://live-hls-web-aja.getaj.net/AJA/02.m3u8
144.65ms,九品芝麻官,https://txmov2.a.kwimgs.com/upic/2021/12/28/11/BMjAyMTEyMjgxMTIyMTJfNDAzMDAxOTlfNjM2NjgxODA5MTBfMF8z_bF_Bcc38a845b4b4994898062a76d3958bdc.mp4
145.71ms,2019年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5222205336887088723_hlshd15.m3u8
149.24ms,TVB娱乐新闻,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct2
150.08ms,CCTV1-综合,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
152.77ms,动物星球,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
157.19ms,东方卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953535631090825_hlsb.m3u8
157.20ms,2022年春晚,https://txmov2.a.kwimgs.com/upic/2022/02/01/11/BMjAyMjAyMDExMTEwMjNfNDAzMDAxOTlfNjYzNzA4MTk4NzNfMF8z_b_B898cc7ddd0025bf54ddb18ec1f723c84.mp4
157.20ms,半岛新闻「阿拉伯」,http://live-hls-web-aja.getaj.net/AJA/02.m3u8?zshijd
166.97ms,2011年春晚,https://txmov2.a.kwimgs.com/upic/2023/01/16/11/BMjAyMzAxMTYxMTA3MjFfNDAzMDAxOTlfOTM3MjcyMjA3ODhfMF8z_b_B8214200efc869dc6fcf99dad619fa4c1.mp4
174.43ms,CNN,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
177.13ms,广东珠江,http://cdn2.163189.xyz/live/gdzj/stream.m3u8
185.59ms,莲花卫视,http://php.jdshipin.com:8880/amlh.php
195.16ms,黑龙江卫视,https://s1.abntelevision.com/avivamientoabr/stream/avivamientohd/avivamientohd/chunks.m3u8
200.66ms,广东珠江,http://php.jdshipin.com/TVOD/iptv.php?id=gdzj
204.48ms,凤凰中文,https://k44991.kylintv.tv/live/pxna_iphone.m3u8
205.58ms,CCTV9-纪录,https://api.olelive.com/dis/live/CCTV9HD/hls.m3u8
207.75ms,1993年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5217420261875933947_hlshd15.m3u8
213.65ms,1994年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5197154061406974711_hlshd15.m3u8
214.29ms,1991年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664837540712798_hlshd15.m3u8
216.96ms,第十集,https://yzzy.play-cdn7.com/20221013/22693_17eb9651/index.m3u8
219.81ms,第三十六集,https://yzzy.play-cdn7.com/20221013/22722_9f54cbd2/index.m3u8
221.01ms,AMC电影,http://104.244.79.187:5050/litv/4gtv-4gtv017
221.98ms,第四十二集,https://yzzy.play-cdn7.com/20221013/22728_7fff7f3a/index.m3u8
224.50ms,萧山新闻综合,https://l.cztvcloud.com/channels/lantian/SXxiaoshan1/720p.m3u8
225.88ms,翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct4
226.64ms,CCTV7-国防军事,https://api.olelive.com/dis/live/CCTV7HD/hls.m3u8
227.88ms,2003年春晚,https://txmov2.a.kwimgs.com/upic/2023/01/14/23/BMjAyMzAxMTQyMzQxNDdfNDAzMDAxOTlfOTM2MTU0MTk1NDFfMF8z_b_B182749d2cd2ea9323639254af385f24b.mp4
234.64ms,八大第一,http://50.7.234.10:8278/badafirst/playlist.m3u8?tid=MBDB5904995459049954&ct=19193&tsum=ab627e00a84b423b5747a65289eec076
236.39ms,第三十五集,https://yzzy.play-cdn7.com/20221013/22719_14bf9a3b/index.m3u8
236.40ms,八大第一,http://50.7.234.10:8278/badafirst/playlist.m3u8?tid=MD2D8073200480732004&ct=19254&tsum=5cb051b366ad3740cebcc06a987d749e
237.04ms,湖北卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=d5f863&tk=6949f8ce7202
237.77ms,重庆卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=c8e80b&tk=6949f8ce7202
237.87ms,江西卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=51d50b&tk=6949f8ce7202
238.08ms,浙江卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=12da06&tk=822270345d4c
238.12ms,云南卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=c42ca1&tk=6949f8ce7202
238.41ms,吉林卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=4623&tk=f6cc1e0a0e1a
238.59ms,辽宁卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3e2283&tk=6949f8ce7202
238.67ms,四川卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=c532da&tk=6949f8ce7202
238.97ms,延边卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=773b3c&tk=6949f8ce7202
239.00ms,Fox新闻,https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
239.31ms,新疆卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=40fef1&tk=822270345d4c
239.38ms,东南卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=0602ad&tk=6949f8ce7202
239.94ms,天津卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=8f215e&tk=6949f8ce7202
240.26ms,新疆卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2c9d2f&tk=6949f8ce7202
241.01ms,甘肃卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3edff5&tk=6949f8ce7202
241.32ms,八大戏剧,http://50.7.234.10:8278/badadrama/playlist.m3u8?tid=ME4E4734124647341246&ct=19225&tsum=c4e596572a79ad99675ee2137d1cc43d
241.36ms,陕西卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2953d6&tk=6949f8ce7202
241.52ms,动物星球,http://50.7.234.10:8278/animalplanet_twn/playlist.m3u8?tid=MABA3681856636818566&ct=18393&tsum=2066d4c793195f8449577d35af941288
242.20ms,深圳卫视,https://pixman.mytvsuper.com.mp/Smart.php?id=shenzhen
242.58ms,东森戏剧,http://50.7.234.10:8278/ettvdrama/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=27c02fdd5a4eed4ac948d8c250b3b732
242.77ms,东森电影,http://50.7.234.10:8278/ettvmovie/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=8521db60d49af33060b2d4b3262a1097
243.49ms,CCTV3-综艺,https://api.olelive.com/dis/live/CCTV3HD/hls.m3u8
245.02ms,第三十八集,https://yzzy.play-cdn7.com/20221013/22723_f624149b/index.m3u8
248.03ms,半岛新闻 (1080p),https://live-hls-web-aje.getaj.net/AJE/01.m3u8
250.98ms,1905电影网,http://php.jdshipin.com:8880/1905.php?id=1905dy
253.24ms,CCTV5-体育,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv5
253.33ms,1999年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5258234133675308186_hlshd15.m3u8
254.78ms,CCTV14-少儿,https://api.olelive.com/dis/live/CCTV14HD/hls.m3u8
256.65ms,苍南新闻综合,https://l.cztvcloud.com/channels/lantian/SXcangnan1/720p.m3u8
259.34ms,CCTV11-戏曲,https://api.olelive.com/dis/live/CCTV11HD/hls.m3u8
262.75ms,CCTV4-中文国际,https://pixman.mytvsuper.com.mp/Smart.php?id=Cctv4
266.55ms,凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
270.91ms,浙江卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=b1d8c9&tk=6949f8ce7202
273.46ms,CCTV12-社会与法,https://pixman.mytvsuper.com.mp/Smart.php?id=cctv12
274.94ms,CCTV+1247,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
277.91ms,1995年春晚,https://txmov2.a.kwimgs.com/bs3/video-hls/5255137907893179578_hlshd15.m3u8
279.67ms,第二十九集,https://yzzy.play-cdn7.com/20221013/22714_de3ff74d/index.m3u8
284.34ms,TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
284.36ms,第八集,https://yzzy.play-cdn7.com/20221013/22695_16e14a51/index.m3u8
284.79ms,CCTV10-科教,https://api.olelive.com/dis/live/CCTV10HD/hls.m3u8
286.46ms,龙华电影,https://pixman.mytvsuper.com.mp/Smart.php?id=xingwei_movie
287.61ms,黑龙江卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=cf281b&tk=822270345d4c
288.04ms,广东卫视,https://stream1.freetv.fun/80f9f93aeb14f2b203cb77e1f72b095e2aa7e9491de1ee852d24239ba08f3098.m3u8
288.54ms,辽宁生活,https://stream1.freetv.fun/liao-zhu-sheng-huo-1.m3u8
289.68ms,金鹰卡通,https://stream1.freetv.fun/f563b977599985b4eecdad9c802930fc79a2adbd22b40712ec657cba6adc5fcf.m3u8
289.78ms,山东体育,https://stream1.freetv.fun/shan-dong-ti-yu-4.m3u8
289.83ms,优漫卡通,https://stream1.freetv.fun/4073fb5ec1ec48f010e1db882aeb63ddc7104c56c5c729c4d08e932d585591a8.m3u8
290.38ms,福建综合,https://stream1.freetv.fun/fu-jian-zong-he-3.m3u8
290.49ms,2008年春晚,https://txmov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQzNTNfMF8z_b_Bd7346962e61bd7b84e11a1fa6e4616f9.mp4
291.21ms,云南卫视,https://stream1.freetv.fun/5bbba5834b315d5fec76e36bcd530eca118d6b43f41e5be0a5ac9da26541fad7.m3u8
291.25ms,浙江民生休闲,https://stream1.freetv.fun/zhe-jiang-min-sheng-1.m3u8
292.08ms,CCTV16-奥林匹克,https://stream1.freetv.fun/f5e0459fd9f11d93ac18af88196997db1c71aeb6d27ce1bd24faccb628652629.m3u8
292.39ms,第二十七集,https://yzzy.play-cdn7.com/20221013/22712_af581805/index.m3u8
292.43ms,东森戏剧,https://pixman.mytvsuper.com.mp/Smart.php?id=ettvdrama
292.62ms,苏州生活资讯,https://stream1.freetv.fun/su-zhou-sheng-huo-zi-xun-1.m3u8
292.85ms,第二十三集,https://yzzy.play-cdn7.com/20221013/22708_4f1a66a2/index.m3u8
293.32ms,山东体育,https://stream1.freetv.fun/shan-dong-ti-yu-15.m3u8
293.87ms,永嘉新闻综合,http://l.cztvcloud.com/channels/lantian/SXyongjia1/720p.m3u8?zzhed&quot;
294.42ms,安徽经济生活,https://stream1.freetv.fun/an-hui-jing-ji-sheng-huo-5.m3u8
295.81ms,小九老乐,https://vd3.bdstatic.com/mda-maqs355itqp221rx/v2-hknm/hd/mda-maqs355itqp221rx.mp4?pd=19&vt=1
295.83ms,第五集,https://yzzy.play-cdn7.com/20221013/22690_b50b3ef5/index.m3u8
295.94ms,广东珠江,https://stream1.freetv.fun/yan-dong-zhu-jiang-5.m3u8
296.01ms,东森电影,https://stream1.freetv.fun/dong-sen-dian-ying-8.m3u8
296.01ms,安徽综艺体育,https://stream1.freetv.fun/an-hui-zong-yi-ti-yu-5.m3u8
296.10ms,云南卫视,https://stream1.freetv.fun/db3a0a73c90fdc8f86e527b0c2ff10fffe1813c3ad779aeac33e8df0a8bd575a.m3u8
296.23ms,德阳新闻综合,https://stream1.freetv.fun/de-yang-xin-wen-zong-he-3.m3u8
296.40ms,延边卫视,https://stream1.freetv.fun/yan-bian-wei-shi-16.m3u8
296.93ms,北京卫视,https://stream1.freetv.fun/hu-bei-jing-shi-6.m3u8
297.26ms,动漫秀场,https://stream1.freetv.fun/dong-man-xiu-chang-9.ctv
298.01ms,安徽综艺体育,https://stream1.freetv.fun/an-hui-zong-yi-ti-yu-8.m3u8
298.33ms,CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-10.m3u8
299.47ms,乐山新闻综合,https://stream1.freetv.fun/le-shan-xin-wen-zong-he-1.m3u8
299.60ms,邢台综合,https://stream1.freetv.fun/xing-tai-zong-he-8.m3u8
300.09ms,武汉教育,https://stream1.freetv.fun/wu-yi-jiao-yu-6.m3u8
300.65ms,德阳新闻综合,https://stream1.freetv.fun/de-yang-xin-wen-zong-he-2.m3u8
300.99ms,动漫秀场,https://stream1.freetv.fun/dong-man-xiu-chang-20.m3u8
301.00ms,CHC影迷电影,https://stream1.freetv.fun/chcying-mi-dian-ying-8.ctv
301.10ms,第九集,https://yzzy.play-cdn7.com/20221013/22694_32ffaf46/index.m3u8
301.26ms,香港卫视,https://stream1.freetv.fun/xiang-gang-wei-shi-13.m3u8
301.29ms,第三十集,https://yzzy.play-cdn7.com/20221013/22716_1ac04a90/index.m3u8
301.35ms,叙州新闻综合,https://stream1.freetv.fun/xu-zhou-xin-wen-zong-he-3.m3u8
301.46ms,吉林卫视,http://dsj.motem.top:8880/bptv/10000100000000050000000004972569.m3u8
301.47ms,德阳新闻综合,https://stream1.freetv.fun/de-yang-xin-wen-zong-he-1.m3u8
301.64ms,荆门新闻综合,https://stream1.freetv.fun/jing-men-xin-wen-zong-he-1.m3u8
302.15ms,河北少儿科教,https://stream1.freetv.fun/he-bei-shao-er-ke-jiao-17.ctv
302.27ms,山东体育,https://stream1.freetv.fun/shan-dong-ti-yu-18.m3u8
302.79ms,CHC家庭影院,https://stream1.freetv.fun/chcjia-ting-ying-yuan-13.m3u8
303.66ms,天津卫视,https://stream1.freetv.fun/0d3a11ab7b1579bed59253d1fda80783bd3d15b047c0f9336517bdc5d84d8e66.m3u8
303.68ms,衢江新闻综合,https://stream1.freetv.fun/qu-jiang-xin-wen-zong-he-2.m3u8
303.75ms,安徽综艺体育,https://stream1.freetv.fun/an-hui-zong-yi-ti-yu-4.ctv
303.84ms,第二集,https://yzzy.play-cdn7.com/20221013/22687_ef6d93cf/index.m3u8
303.90ms,平湖新闻综合,https://stream1.freetv.fun/ping-hu-xin-wen-zong-he-2.m3u8
304.00ms,山东少儿,https://stream1.freetv.fun/shan-dong-shao-er-10.m3u8
304.04ms,凤凰卫视,https://pixman.mytvsuper.com.mp/Smart.php?id=phoenixtv_hd
304.09ms,美食星球,https://pixman.mytvsuper.com.mp/Smart.php?id=foodplanet_twn
304.11ms,山东新闻,https://stream1.freetv.fun/shan-dong-xin-wen-6.m3u8
304.85ms,江门综合,https://stream1.freetv.fun/jiang-men-zong-he-14.ctv
305.17ms,浙江生活,https://stream1.freetv.fun/zhe-jiang-jing-ji-sheng-huo-3.ctv
305.40ms,香港卫视,https://stream1.freetv.fun/ae7eaf28d8610cdc1651ef6a1f7dbb24b49c5a87627d0d881330afaea37a1616.m3u8
305.46ms,安徽经济生活,https://stream1.freetv.fun/an-hui-jing-ji-sheng-huo-4.ctv
305.67ms,黑龙江影视,https://stream1.freetv.fun/hei-long-jiang-ying-shi-1.m3u8
305.70ms,开化新闻综合,https://stream1.freetv.fun/kai-hua-xin-wen-zong-he-2.ctv
306.10ms,萧山新闻综合,https://stream1.freetv.fun/xiao-shan-xin-wen-zong-he-9.m3u8
306.22ms,河南民生,https://stream1.freetv.fun/he-nan-min-sheng-3.ctv
307.05ms,黑龙江文体,https://stream1.freetv.fun/hei-long-jiang-wen-ti-1.m3u8
307.44ms,山东体育,https://stream1.freetv.fun/shan-dong-ti-yu-7.m3u8
307.50ms,湖南电视剧,https://stream1.freetv.fun/hu-nan-dian-shi-ju-gao-qing-1.m3u8
307.65ms,广东卫视,https://stream1.freetv.fun/254cd336bd5b0df6d92107dc982893be1b2e931a8e1c144ee600993d9de7c3cd.m3u8
307.96ms,延边卫视,https://stream1.freetv.fun/yan-bian-wei-shi-15.m3u8
308.47ms,农林卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=158c65&tk=6949f8ce7202
308.78ms,黑龙江卫视,http://dsj.motem.top:8880/bptv/10000100000000050000000003873470.m3u8
309.37ms,荆门新闻综合,https://stream1.freetv.fun/jing-men-xin-wen-zong-he-5.m3u8
309.55ms,萧山新闻综合,https://stream1.freetv.fun/xiao-shan-xin-wen-zong-he-8.m3u8
309.75ms,黑龙江都市,https://stream1.freetv.fun/hei-long-jiang-du-shi-7.m3u8
309.81ms,黑龙江卫视,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5cd779&tk=6949f8ce7202
310.02ms,山东新闻,https://stream1.freetv.fun/shan-dong-xin-wen-7.m3u8
310.42ms,山东新闻,https://stream1.freetv.fun/shan-dong-xin-wen-2.m3u8
310.49ms,CCTV10-科教,https://stream1.freetv.fun/0dcbed2ed662304a0dfedbfd136a829adf1c5248c533627626fddff02fb1b19f.m3u8
310.76ms,黑龙江文体,https://stream1.freetv.fun/hei-long-jiang-wen-ti-18.m3u8
311.01ms,叙州新闻综合,http://pili-live-hls.ybcxjd.com/jdh-live/2108111201035597.m3u8?zsicd
311.33ms,山东体育,https://stream1.freetv.fun/shan-dong-ti-yu-6.m3u8
311.40ms,山东新闻,https://stream1.freetv.fun/shan-dong-xin-wen-4.m3u8
311.42ms,武乡新闻综合,https://stream1.freetv.fun/wu-xiang-xin-wen-zong-he-1.m3u8
311.43ms,CCTV14-少儿,https://stream1.freetv.fun/810e8e594bbd7f110f164ca1f3297900a5be91468d81db0d55494d7a6f79eb19.m3u8
311.51ms,湖北垄上,https://stream1.freetv.fun/hu-bei-long-shang-14.m3u8
311.60ms,河南都市,https://stream1.freetv.fun/he-nan-du-shi-11.m3u8
311.67ms,宁夏卫视,http://dsj.motem.top:8880/bptv/10000100000000050000000003887433.m3u8
312.03ms,明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
312.22ms,广东卫视,https://stream1.freetv.fun/a72812e93490410583b988eedf11fcc8c425c0e15bc8f2aab64626f4b6a3ff25.m3u8
312.23ms,金鹰卡通,http://dsj.motem.top:8880/bptv/10000100000000050000000004796942.m3u8
312.28ms,东南卫视,https://pixman.mytvsuper.com.mp/Smart.php?id=fujian
312.29ms,CCTV4-中文国际,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=e94a90&tk=6949f8ce7202
312.56ms,苏州新闻综合,https://stream1.freetv.fun/su-zhou-xin-wen-zong-he-13.m3u8
312.57ms,永嘉新闻综合,https://stream1.freetv.fun/yong-jia-xin-wen-zong-he-1.m3u8
312.72ms,金鹰纪实,https://stream1.freetv.fun/jin-ying-ji-shi-13.ctv
312.77ms,永嘉新闻综合,https://stream1.freetv.fun/yong-jia-xin-wen-zong-he-4.m3u8
313.21ms,萧山新闻综合,https://stream1.freetv.fun/xiao-shan-xin-wen-zong-he-6.m3u8
313.65ms,东南卫视,http://dsj.motem.top:8880/bptv/10000100000000050000000003873473.m3u8
313.73ms,湖北卫视,https://pixman.mytvsuper.com.mp/Smart.php?id=hubei
314.46ms,上虞文化影院,https://stream1.freetv.fun/shang-yu-wen-hua-ying-yuan-4.ctv
314.49ms,湖南电影,https://stream1.freetv.fun/hu-nan-dian-ying-2.ctv
314.49ms,兰溪新闻综合,https://stream1.freetv.fun/lan-xi-xin-wen-zong-he-3.m3u8
314.60ms,三立戏剧,https://stream1.freetv.fun/san-li-xi-ju-1.m3u8
315.04ms,广元综合,https://stream1.freetv.fun/yan-yuan-zong-he-2.ctv
315.14ms,CCTV16-奥林匹克,https://api.olelive.com/dis/live/CCTV16HD/hls.m3u8
315.94ms,四川科教,https://stream1.freetv.fun/si-chuan-ke-jiao-5.m3u8
