央视频道,#genre#
CCTV4K超高清,http://114.254.147.3:23234/udp/239.3.1.245:2000
CCTV4K超高清,http://114.254.32.8:8888/udp/239.3.1.245:2000
CCTV4K超高清,http://114.254.80.199:8888/udp/239.3.1.245:2000
CCTV4K超高清,http://171.83.144.74:6868/rtp/239.69.1.12:9712
CCTV4K超高清,http://221.234.221.30:4022/rtp/239.69.1.12:9712
CCTV4K超高清,http://27.28.196.115:4022/rtp/239.69.1.12:9712
CCTV4中文国际欧洲,http://114.254.147.3:23234/rtp/239.3.1.213:4220
CCTV4中文国际欧洲,http://114.254.32.8:8888/rtp/239.3.1.213:4220
CCTV4中文国际欧洲,http://114.254.80.199:8888/rtp/239.3.1.213:4220
CCTV4中文国际欧洲,http://171.83.144.74:6868/rtp/239.69.1.231:11028
CCTV4中文国际欧洲,http://221.234.221.30:4022/rtp/239.69.1.231:11028
CCTV4中文国际欧洲,http://27.28.196.115:4022/rtp/239.69.1.231:11028
CCTV4中文国际美洲,http://114.254.147.3:23234/rtp/239.3.1.214:4220
CCTV4中文国际美洲,http://114.254.32.8:8888/rtp/239.3.1.214:4220
CCTV4中文国际美洲,http://114.254.80.199:8888/rtp/239.3.1.214:4220
CCTV4中文国际美洲,http://171.83.144.74:6868/rtp/239.69.1.232:11034
CCTV4中文国际美洲,http://221.234.221.30:4022/rtp/239.69.1.232:11034
CCTV4中文国际美洲,http://27.28.196.115:4022/rtp/239.69.1.232:11034
CCTV怀旧剧场,http://171.213.197.33:4022/udp/239.93.1.198:5140
CCTV怀旧剧场,http://171.213.203.2:4022/udp/239.93.1.198:5140
CCTV怀旧剧场,http://171.213.196.239:4022/udp/239.93.1.198:5140
CCTV怀旧剧场,http://121.29.84.237:5000/rtp/239.253.93.252:6430
CCTV怀旧剧场,http://121.20.207.185:9999/rtp/239.253.93.252:6430
CCTV风云剧场,http://171.213.197.33:4022/udp/239.93.1.156:5140
CCTV风云剧场,http://171.213.203.2:4022/udp/239.93.1.156:5140
CCTV风云剧场,http://171.213.196.239:4022/udp/239.93.1.156:5140
CCTV风云剧场,http://121.29.84.237:5000/rtp/239.253.93.251:6429
CCTV风云剧场,http://121.20.207.185:9999/rtp/239.253.93.251:6429
CCTV第一剧场,http://171.213.197.33:4022/udp/239.93.1.197:5140
CCTV第一剧场,http://171.213.203.2:4022/udp/239.93.1.197:5140
CCTV第一剧场,http://171.213.196.239:4022/udp/239.93.1.197:5140
CCTV第一剧场,http://171.83.144.74:6868/rtp/239.69.1.74:10084
CCTV第一剧场,http://221.234.221.30:4022/rtp/239.69.1.74:10084
CCTV第一剧场,http://27.28.196.115:4022/rtp/239.69.1.74:10084
CCTV第一剧场,http://121.29.84.237:5000/rtp/239.253.93.138:6428
CCTV第一剧场,http://121.20.207.185:9999/rtp/239.253.93.138:6428
CCTV风云音乐,http://121.29.84.237:5000/rtp/239.253.93.253:6431
CCTV风云音乐,http://121.20.207.185:9999/rtp/239.253.93.253:6431
CCTV兵器科技,http://171.83.144.74:6868/rtp/239.69.1.79:10114
CCTV兵器科技,http://221.234.221.30:4022/rtp/239.69.1.79:10114
CCTV兵器科技,http://27.28.196.115:4022/rtp/239.69.1.79:10114
CCTV兵器科技,http://121.29.84.237:5000/rtp/239.253.93.47:6435
CCTV兵器科技,http://121.20.207.185:9999/rtp/239.253.93.47:6435
CCTV风云足球,http://171.83.144.74:6868/rtp/239.69.1.81:10126
CCTV风云足球,http://221.234.221.30:4022/rtp/239.69.1.81:10126
CCTV风云足球,http://27.28.196.115:4022/rtp/239.69.1.81:10126
CCTV风云足球,http://121.29.84.237:5000/rtp/239.253.93.254:6432
CCTV风云足球,http://121.20.207.185:9999/rtp/239.253.93.254:6432
CCTV世界地理,http://171.83.144.74:6868/rtp/239.69.1.91:10186
CCTV世界地理,http://221.234.221.30:4022/rtp/239.69.1.91:10186
CCTV世界地理,http://27.28.196.115:4022/rtp/239.69.1.91:10186
CCTV世界地理,http://121.29.84.237:5000/rtp/239.253.92.131:6113
CCTV世界地理,http://121.20.207.185:9999/rtp/239.253.92.131:6113
CCTV电视指南,http://121.29.84.237:5000/rtp/239.253.93.249:6427
CCTV电视指南,http://121.20.207.185:9999/rtp/239.253.93.249:6427
CCTV女性时尚,http://121.29.84.237:5000/rtp/239.253.92.144:6114
CCTV女性时尚,http://121.20.207.185:9999/rtp/239.253.92.144:6114
CCTV高尔夫网球,http://171.213.197.33:4022/udp/239.93.1.54:5140
CCTV高尔夫网球,http://171.213.203.2:4022/udp/239.93.1.54:5140
CCTV高尔夫网球,http://171.213.196.239:4022/udp/239.93.1.54:5140
CCTV高尔夫网球,http://171.83.144.74:6868/rtp/239.69.1.83:10138
CCTV高尔夫网球,http://221.234.221.30:4022/rtp/239.69.1.83:10138
CCTV高尔夫网球,http://27.28.196.115:4022/rtp/239.69.1.83:10138
CCTV高尔夫网球,http://121.29.84.237:5000/rtp/239.253.93.122:6465
CCTV高尔夫网球,http://121.20.207.185:9999/rtp/239.253.93.122:6465
CCTV央视台球,http://171.83.144.74:6868/rtp/239.69.1.98:10224
CCTV央视台球,http://221.234.221.30:4022/rtp/239.69.1.98:10224
CCTV央视台球,http://27.28.196.115:4022/rtp/239.69.1.98:10224
CCTV央视台球,http://121.29.84.237:5000/rtp/239.253.93.231:6409
CCTV央视台球,http://121.20.207.185:9999/rtp/239.253.93.231:6409
CETV-1,http://171.213.197.33:4022/udp/239.93.1.111:5140
CETV-1,http://171.213.203.2:4022/udp/239.93.1.111:5140
CETV-1,http://171.213.196.239:4022/udp/239.93.1.111:5140
CETV-1,http://123.160.172.130:8800/rtp/239.16.20.78:10780
CETV-1,http://1.193.56.43:8800/rtp/239.16.20.78:10780
CETV-1,http://121.29.84.237:5000/rtp/239.253.92.211:6069
CETV-1,http://121.20.207.185:9999/rtp/239.253.92.211:6069
CETV-4,http://183.128.146.235:8000/udp/233.50.200.162:5140
CETV-4,http://125.123.144.144:4022/udp/233.50.200.162:5140
CETV-4,http://125.119.112.63:8000/udp/233.50.200.162:5140
CETV-4,http://121.29.84.237:5000/rtp/239.253.92.200:6137
CETV-4,http://121.20.207.185:9999/rtp/239.253.92.200:6137
