更新时间,#genre#
2025-03-10 17:25:15,url
央视频道,#genre#:
中国教育,http://223.145.224.120:8000/udp/239.76.252.192:9000

卫视频道,#genre#:
CHC动作电影,http://223.145.224.120:8000/udp/239.76.245.243:1234
CHC家庭影院,http://223.145.224.120:8000/udp/239.76.245.241:1234
凤凰中文,http://223.145.224.120:8000/udp/239.76.253.135:9000
凤凰中文,http://223.145.224.120:8000/udp/239.76.246.134:1234
凤凰资讯,http://223.145.224.120:8000/udp/239.76.253.134:9000
凤凰资讯,http://223.145.224.120:8000/udp/239.76.246.135:1234
北京卫视,http://223.145.224.120:8000/udp/239.76.253.184:9000
北京卫视,http://223.145.224.120:8000/udp/239.76.246.184:1234
安徽卫视,http://223.145.224.120:8000/udp/239.76.245.196:1234
山东卫视,http://223.145.224.120:8000/udp/239.76.253.195:9000
广东卫视,http://223.145.224.120:8000/udp/239.76.245.189:1234
浙江卫视,http://223.145.224.120:8000/udp/239.76.253.182:9000
湖北卫视,http://223.145.224.120:8000/udp/239.76.253.193:9000
湖北卫视,http://223.145.224.120:8000/udp/239.76.246.193:1234
湖南卫视,http://223.145.224.120:8000/udp/239.76.246.100:1234
湖南卫视,http://223.145.224.120:8000/udp/239.76.252.115:9000
湖南卫视,http://223.145.224.120:8000/udp/239.76.246.101:1234
湖南卫视,http://223.145.224.120:8000/udp/239.76.253.101:9000
湖南卫视,http://223.145.224.120:8000/udp/239.76.253.100:9000
湖南卫视,http://223.145.224.120:8000/udp/239.76.245.115:1234
重庆卫视,http://223.145.224.120:8000/udp/239.76.246.92:1234
重庆卫视,http://223.145.224.120:8000/udp/239.76.253.92:9000
陕西卫视,http://223.145.224.120:8000/udp/239.76.254.76:9000
青海卫视,http://223.145.224.120:8000/udp/239.76.254.132:9000
黑龙江卫视,http://223.145.224.120:8000/udp/239.76.253.200:9000
黑龙江卫视,http://223.145.224.120:8000/udp/239.76.246.200:1234

数字频道,#genre#:
CCTV地理世界,http://223.145.224.120:8000/udp/239.76.254.57:9000
CCTV风云足球,http://223.145.224.120:8000/udp/239.76.254.52:9000

安徽频道,#genre#:
北京纪实科教,http://223.145.224.120:8000/udp/239.76.254.65:9000
金鹰卡通,http://223.145.224.120:8000/udp/239.76.252.120:9000
金鹰卡通,http://223.145.224.120:8000/udp/239.76.245.120:1234
金鹰卡通,http://223.145.224.120:8000/udp/239.76.246.107:1234
金鹰卡通,http://223.145.224.120:8000/udp/239.76.253.107:9000
金鹰纪实,http://223.145.224.120:8000/udp/239.76.253.110:9000
金鹰纪实,http://223.145.224.120:8000/udp/239.76.245.122:1234
金鹰纪实,http://223.145.224.120:8000/udp/239.76.252.122:9000

湖南频道,#genre#:
武冈综合,http://223.145.224.120:8000/udp/239.76.248.29:1234
永州公共,http://223.145.224.120:8000/udp/239.76.248.24:1234
永州新闻,http://223.145.224.120:8000/udp/239.76.255.23:9000
永州新闻,http://223.145.224.120:8000/udp/239.76.248.23:1234
江永综合,http://223.145.224.120:8000/udp/239.76.255.35:9000
津市新闻,http://223.145.224.120:8000/udp/239.76.248.30:1234
湖南,http://223.145.224.120:8000/udp/239.76.252.124:9000
湖南,http://223.145.224.120:8000/udp/239.76.246.102:1234
湖南娱乐,http://223.145.224.120:8000/udp/239.76.252.121:9000
湖南娱乐,http://223.145.224.120:8000/udp/239.76.245.121:1234
湖南娱乐,http://223.145.224.120:8000/udp/239.76.253.105:9000
湖南娱乐,http://223.145.224.120:8000/udp/239.76.246.105:1234
湖南影视,http://223.145.224.120:8000/udp/239.76.245.118:1234
湖南影视,http://223.145.224.120:8000/udp/239.76.246.108:1234
湖南影视,http://223.145.224.120:8000/udp/239.76.253.108:9000
湖南影视,http://223.145.224.120:8000/udp/239.76.252.118:9000
湖南电影,http://223.145.224.120:8000/udp/239.76.252.119:9000
湖南电影,http://223.145.224.120:8000/udp/239.76.253.106:9000
湖南电影,http://223.145.224.120:8000/udp/239.76.245.119:1234
益阳新闻综合,http://223.145.224.120:8000/udp/239.76.248.15:1234
祁阳综合,http://223.145.224.120:8000/udp/239.76.255.31:9000
郴州综合,http://223.145.224.120:8000/udp/239.76.253.75:9000

河南频道,#genre#:

其他频道,#genre#:
CCTV4,http://223.145.224.120:8000/udp/239.76.245.195:1234
CCTV10,http://223.145.224.120:8000/udp/239.76.246.160:1234
CCTV10,http://223.145.224.120:8000/udp/239.76.253.160:9000
CCTV11,http://223.145.224.120:8000/udp/239.76.245.251:1234
CCTV12,http://223.145.224.120:8000/udp/239.76.246.162:1234
CCTV16,http://223.145.224.120:8000/udp/239.76.246.98:1234
CCTV兵器科技,http://223.145.224.120:8000/udp/239.76.254.59:9000
CCTV央视台球,http://223.145.224.120:8000/udp/239.76.254.58:9000
CCTV央视文化精品,http://223.145.224.120:8000/udp/239.76.254.56:9000
CCTV电视指南,http://223.145.224.120:8000/udp/239.76.254.61:9000
CCTV风云音乐,http://223.145.224.120:8000/udp/239.76.254.51:9000
动漫秀场,http://223.145.224.120:8000/udp/239.76.254.70:9000
北京少儿,http://223.145.224.120:8000/udp/239.76.254.81:9000
天元围棋,http://223.145.224.120:8000/udp/239.76.246.2:1234
怀旧剧场,http://223.145.224.120:8000/udp/239.76.254.53:9000
未知新闻综合,http://223.145.224.120:8000/udp/239.76.248.32:1234
法治天地,http://223.145.224.120:8000/udp/239.76.254.67:9000
游戏风云,http://223.145.224.120:8000/udp/239.76.254.71:9000
熊猫直播,http://223.145.224.120:8000/udp/239.76.254.102:9000
生活时尚,http://223.145.224.120:8000/udp/239.76.254.73:9000
第一剧场,http://223.145.224.120:8000/udp/239.76.254.49:9000
茶,http://223.145.224.120:8000/udp/239.76.245.239:1234
风云剧场,http://223.145.224.120:8000/udp/239.76.254.50:9000

