更新时间,#genre#
20241123-09-54-29,url


whitelist,#genre#
辉南新闻综合,http://stream5.jlntv.cn/hn/sd/live.m3u8?zjild
倩女幽魂人间道,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
陕西卫视,http://satellitepull.cnr.cn/live/wxsxxws/playlist.m3u8
通州电视台,http://pull.dayuntongzhou.com/live/tztv.m3u8
河南｜宝丰综合频道,http://tvpull.dxhmt.cn:9081/tv/10421-1.m3u8?zhend
辉南新闻综合,http://stream5.jlntv.cn/hn/sd/live.m3u8
倩女幽魂妖魔道,http://jsmov2.a.yximgs.com/bs3/video-hls/5232901391302199073_hlsb.m3u8
龙门飞甲,http://jsmov2.a.yximgs.com/bs3/video-hls/5203346449046555193_hlsb.m3u8
河南｜光山综合,http://tvpull.dxhmt.cn:9081/tv/11522-1.m3u8
河南｜潢川综合,http://tvpull.dxhmt.cn:9081/tv/11526-1.m3u8
磐石综合,http://stream5.jlntv.cn/ps/sd/live.m3u8?zjild
宁夏卫视,http://202.100.46.58:9901/tsfile/live/1036_1.m3u8
邓州新闻,http://tvpull.dxhmt.cn:9081/tv/11381-1.m3u8?zhend
湖北卫视,http://60.164.128.167:8029/rtp/239.255.30.138:8231
滑县新闻,http://tvpull.dxhmt.cn:9081/tv/10526-1.m3u8?zhend
磐石综合,http://stream5.jlntv.cn/ps/sd/live.m3u8
广西卫视,http://60.164.128.167:8029/rtp/239.255.29.4:8231
陕西卫视,http://202.100.46.58:9901/tsfile/live/1017_1.m3u8
四川卫视,http://202.100.46.58:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://60.164.128.167:8029/rtp/239.255.30.71:8231
余姚姚江文化,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8zzhed
天津卫视,http://60.164.128.167:8029/rtp/239.255.30.67:8231
青海卫视,http://202.100.46.58:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://171.116.226.246:8082/rtp/226.0.2.52:8328
黑龙江卫视,http://218.89.240.144:59901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://ikuai.zlsip.top:4022/rtp/239.3.1.184:8001
浙江新闻,http://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
CCTV14,http://39.98.201.151:9090/udp/225.1.8.14:8132
CCTV14,http://202.100.46.58:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://202.100.46.58:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://123.122.162.7:19999/rtp/239.3.1.34:8192
湖南卫视,http://wouu.net:9977/udp/239.93.0.88:5140
江苏卫视,http://wouu.net:9977/udp/239.93.0.89:5140
宁夏卫视,http://202.100.46.58:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://60.164.128.167:8029/rtp/239.255.30.139:8231
广东卫视,http://110.177.146.152:888/rtp/239.1.1.49:8049
甘肃卫视,http://202.100.46.58:9901/tsfile/live/1035_1.m3u8
辽宁卫视,http://wouu.net:9977/udp/239.93.1.108:5140
重庆卫视,http://60.164.128.167:8029/rtp/239.255.30.89:8231
重庆卫视,http://wouu.net:9977/udp/239.93.1.107:5140
陕西卫视,http://115.171.80.38:8888/udp/225.1.8.154:8140
珲春新闻综合,http://stream8.jlntv.cn/hctv/sd/live.m3u8?zjild
CCTV15,http://123.122.162.7:19999/rtp/239.3.1.15:8052
东南卫视,http://60.164.128.167:8029/rtp/239.255.30.86:8231
快乐垂钓,http://60.164.128.167:8029/rtp/239.255.29.26:8231
快乐垂钓,http://110.177.146.152:888/udp/239.1.1.86:8086
CCTV电视指南,http://110.177.146.152:888/udp/239.1.1.90:8090
北京卫视,http://60.164.128.167:8029/rtp/239.255.30.133:8231
优漫卡通,http://110.177.146.152:888/rtp/239.1.1.72:8072
四川卫视,http://110.177.146.152:888/rtp/239.1.1.29:8029
重庆卫视,http://183.66.51.205:4022/rtp/235.254.198.34:1412
四川卫视,http://113.251.226.86:8003/rtp/235.254.198.28:1388
天津卫视,http://sweetown.fun:4000/rtp/239.3.1.141:1234
CCTV12,http://110.177.146.152:888/udp/239.1.1.19:8019
辽宁卫视,http://110.177.146.152:888/udp/239.1.1.42:8042
东方卫视,http://171.116.226.246:8082/rtp/226.0.2.34:8184
东方卫视,http://home.yulei.online:9999/rtp/226.0.2.175:9312
山东教育卫视,http://wouu.net:9977/udp/239.93.1.196:5140
广东卫视,http://fangke.blueswords.com:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://1.203.77.72:7788/udp/225.1.8.41:8012
江苏卫视,http://171.116.226.246:8082/rtp/226.0.2.38:8216
北京卫视,http://wouu.net:9977/udp/239.93.0.180:5140
CCTV5,http://115.48.60.133:9901/tsfile/live/0005_1.m3u8
CCTV14,http://wouu.net:9977/udp/239.93.1.29:6000
北京卫视,http://183.66.51.205:4022/rtp/235.254.198.21:1360
贵州卫视,http://110.177.146.152:888/udp/239.1.1.43:8043
快乐垂钓,http://110.177.146.152:888/rtp/239.1.1.86:8086
北京科教,http://115.171.80.38:8888/udp/225.1.8.123:8002
CCTV13,http://123.113.187.204:8000/rtp/239.3.1.124:8128
CCTV17,http://wouu.net:9977/udp/239.93.0.92:5140
CCTV风云剧场,http://110.177.146.152:888/udp/239.1.1.93:8093
CCTV14,http://221.219.96.192:8012/rtp/239.3.1.65:8132?
CCTV15,http://39.98.201.151:9090/udp/225.1.8.74:8136
CCTV15,http://115.171.80.38:8888/udp/225.1.8.74:8136
CCTV17,http://221.219.96.192:8012/rtp/239.3.1.151:8144?
CCTV12,http://27.11.49.235:8004/udp/225.0.4.129:7980
四川卫视,http://118.122.189.74:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://110.177.146.152:888/rtp/239.1.1.32:8032
青海卫视,http://39.98.201.151:9090/udp/225.1.8.157:8184
CHC高清电影,http://171.116.226.246:8085/rtp/226.0.2.93:8004
CHC家庭影院,http://171.116.226.246:8083/rtp/226.0.2.240:9820
CCTV12,http://1.203.77.72:7788/udp/225.1.8.112:8232
CCTV13,http://wouu.net:9977/udp/239.93.0.66:5140
CCTV13,http://1.203.77.72:7788/udp/225.1.8.168:8130
CCTV08,http://1.24.190.98:10080/hls/8/index.m3u8
CCTV08,http://110.185.240.152:55555/udp/239.93.42.39:5140
CCTV09,http://110.177.146.152:888/udp/239.1.1.16:8016
CCTV07,http://110.177.146.152:888/udp/239.1.1.14:8014
CCTV07,http://1.24.190.98:10080/hls/7/index.m3u8
湖南卫视,http://110.177.146.152:888/udp/239.1.1.28:8028
湖南卫视,http://60.164.128.167:8029/rtp/239.255.30.136:8231
湖南卫视,http://110.177.146.152:888/rtp/239.1.1.28:8028
湖南卫视,http://218.89.240.144:59901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://123.113.187.204:8000/rtp/239.3.1.135:8028
东南卫视,http://171.116.226.246:8082/rtp/226.0.2.188:9416
东南卫视,http://218.89.240.144:59901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://202.100.46.58:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://wouu.net:9977/udp/239.93.0.247:5140
宁夏卫视,http://61.136.67.238:50085/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://1.24.190.98:10080/hls/93/index.m3u8
山东卫视,http://27.11.57.219:8007/udp/225.0.4.199:7980
山西卫视,http://123.122.162.7:19999/rtp/239.3.1.42:8172
康巴卫视,http://wouu.net:9977/udp/239.93.0.41:5140
江西卫视,http://39.98.201.151:9090/udp/225.1.1.9:8164
贵州卫视,http://39.98.201.151:9090/udp/225.1.8.144:8120
重庆卫视,http://113.251.226.86:8003/rtp/235.254.198.34:1412
重庆卫视,http://110.177.146.152:888/rtp/239.1.1.36:8036
青海卫视,http://wouu.net:9977/udp/239.93.0.192:5140
东方财经,http://110.177.146.152:888/udp/239.1.1.85:8085
哈哈炫动,http://110.177.146.152:888/udp/239.1.1.64:8064
嘉佳卡通,http://wouu.net:9977/udp/239.93.0.246:5140
嘉佳卡通,http://123.122.162.7:19999/rtp/239.3.1.147:9268
北京财经,http://123.122.162.7:19999/rtp/239.3.1.229:8000
邓州新闻,http://live.dxhmt.cn:9081/tv/11381-1.m3u8
春晚15,https://txmov2.a.kwimgs.com/bs3/video-hls/5248101009010430183_hlshd15.m3u8
CCTV1,http://115.48.60.133:9901/tsfile/live/0001_1.m3u8
CCTV11,http://115.48.60.133:9901/tsfile/live/0011_1.m3u8
北京卫视,http://115.48.60.133:9901/tsfile/live/0122_1.m3u8
CCTV12,http://wouu.net:9977/udp/239.93.1.30:8124
CCTV文化精品,http://110.177.146.152:888/udp/239.1.1.91:8091
内蒙古卫视,http://1.24.190.98:10080/hls/31/index.m3u8
四川卫视,http://home.yulei.online:9999/rtp/226.0.2.179:9344
河南卫视,http://60.164.128.167:8029/rtp/239.255.29.3:8231
深圳卫视,http://fangke.blueswords.com:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://218.89.240.144:59901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://218.89.240.144:59901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://115.171.80.38:8888/udp/225.1.8.170:9268
通化县综合,http://stream5.jlntv.cn/thx/sd/live.m3u8?zjild
CCTV16,http://123.113.187.204:8000/rtp/239.3.1.184:8001
东南卫视,http://1.24.190.98:10080/hls/88/index.m3u8
辽宁卫视,http://171.116.226.246:8082/rtp/226.0.2.173:9296
南方卫视,http://39.98.201.151:9090/udp/225.1.8.225:5008
河南卫视,http://113.251.226.86:8003/rtp/235.254.198.26:1380
辽宁卫视,http://110.177.146.152:888/rtp/239.1.1.42:8042
曲剧《风雪配》,http://gcw.bdcdn.shoujiduoduo.com/v/190702/3e371e8c94d2e1070319298ce2f9c2b7.mp4
CCTV16,http://123.122.162.7:19999/rtp/239.3.1.184:8001
CCTV17,http://1.203.77.72:7788/udp/225.1.8.117:8064
安徽卫视,http://218.89.240.144:59901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://wouu.net:9977/udp/239.93.0.6:5140
江西卫视,http://110.177.146.152:888/udp/239.1.1.52:8052
深圳卫视,http://113.251.226.86:8003/rtp/235.254.198.31:1400
贵州卫视,http://202.100.46.58:9901/tsfile/live/1034_1.m3u8
快乐垂钓,http://www.lebaobei.top:6868/rtp/239.255.29.26:8231
北京新闻,http://115.171.80.38:8888/udp/225.1.8.83:8000
CCTV15,http://119.163.199.98:9901/tsfile/live/0015_1.m3u8
江苏卫视,http://202.100.46.58:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV09,http://1.203.77.72:7788/udp/225.1.8.9:8112
浙江卫视,http://218.89.240.144:59901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://1.24.190.98:10080/hls/13/index.m3u8
广西卫视,http://183.66.51.205:4022/rtp/235.254.198.38:1428
四川卫视,http://218.89.240.144:59901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://113.251.226.86:8003/rtp/235.254.198.175:7980
重庆卫视,http://123.122.162.7:19999/rtp/239.3.1.35:8296
天津卫视,http://202.100.46.58:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://218.89.240.144:59901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://183.66.51.205:4022/rtp/235.254.198.28:1388
浙江卫视,http://www.erbao1981.top:8188/udp/239.76.253.182:9000
CCTV11,http://218.89.240.144:59901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://61.136.67.238:50085/tsfile/live/0013_1.m3u8
重庆卫视,http://115.171.80.38:8888/udp/225.1.8.148:8296
浙江卫视,http://111.196.191.248:5555/rtp/239.3.1.137:8036
青海卫视,http://118.122.189.74:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://171.116.226.246:8082/rtp/226.0.2.144:9064
浙江卫视,http://60.223.224.176:8888/newlive/live/hls/23/live.m3u8
重庆卫视,http://113.251.226.86:8003/rtp/235.254.196.249:1268
CCTV17,http://123.122.162.7:19999/rtp/239.3.1.151:8144
北京卫视,http://119.163.199.98:9901/tsfile/live/0122_1.m3u8
吉林卫视,http://218.241.192.50:8808/rtp/239.3.1.240:8172
四川卫视,http://171.119.205.154:6001/rtp/226.0.2.179:9344
深圳卫视,http://183.66.51.205:4022/rtp/235.254.198.31:1400
辽宁卫视,http://183.66.51.205:4022/rtp/235.254.198.23:1368
CHC高清电影,http://220.249.114.102:9901/tsfile/live/1015_1.m3u8
CCTV09,http://110.185.240.152:55555/udp/239.93.1.24:5140
河南卫视,http://115.48.60.133:9901/tsfile/live/0139_1.m3u8
东南卫视,http://home.yulei.online:9999/rtp/226.0.2.188:9416
金鹰纪实,http://123.122.162.7:19999/rtp/239.3.1.58:8156
CCTV风云剧场,http://171.116.226.246:8082/rtp/226.0.2.227:9728
CCTV14,http://218.89.240.144:59901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://110.177.146.152:888/udp/239.1.1.22:8022
北京科教,http://115.171.80.38:8888/udp/225.1.8.105:8002
河南｜周口扶沟,http://live.dxhmt.cn:9081/tv/11621-1.m3u8
江西卫视,http://123.113.187.204:8000/rtp/239.3.1.123:8164
CCTV12,http://111.192.0.32:4022/rtp/239.3.1.64:8124
CCTV13,http://110.177.146.152:888/udp/239.1.1.20:8020
CCTV16,http://ha.xushining.com:50000/udp/225.1.2.237:5002
CCTV16,http://171.119.205.154:6001/rtp/226.0.2.169:9264
浙江卫视,http://111.192.0.32:4022/rtp/239.3.1.137:8036
浙江卫视,http://vod.hnqczh.cn:808/hls/22/index.m3u8
吉林卫视,http://119.163.199.98:9901/tsfile/live/0116_1.m3u8
四川卫视,http://39.98.201.151:9090/udp/225.1.8.142:8288
四川卫视,http://60.164.128.167:8029/rtp/239.255.30.91:8231
天津卫视,http://110.177.146.152:888/udp/239.1.1.46:8046
广东卫视,http://221.219.96.192:8012/rtp/239.3.1.142:8048?
河南卫视,http://ha.xushining.com:50000/udp/225.1.2.61:5002
河南卫视,http://123.122.162.7:19999/rtp/239.3.1.27:8128
海南卫视,http://123.122.162.7:19999/rtp/239.3.1.45:8304
龙泉新闻综合频道,http://l.cztvcloud.com/channels/lantian/SXlongquan1/720p.m3u8
北京生活,http://115.171.80.38:8888/udp/225.1.8.108:8002
CCTV12,http://218.241.192.50:8808/rtp/239.3.1.64:8124
CCTV12,http://1.24.190.98:10080/hls/12/index.m3u8
CCTV12,http://123.122.162.7:19999/rtp/239.3.1.12:8232
CCTV13,http://1.203.77.72:7788/udp/225.1.8.113:8264
CCTV13,http://39.98.201.151:9090/udp/225.1.1.10:8128
CCTV14,http://110.185.240.152:55555/udp/239.93.1.29:6000
CCTV15,http://183.66.15.146:60901/tsfile/live/0015_1.m3u8?key=txiptv
CCTV16,http://171.116.226.246:8082/rtp/226.0.2.169:9264
CCTV风云音乐,http://171.116.226.246:8082/rtp/226.0.2.220:9672
湖南卫视,http://115.171.80.38:8888/udp/225.1.8.41:8012
湖南卫视,http://115.171.80.38:8888/udp/225.1.8.132:8064
湖南卫视,http://171.116.226.246:8082/rtp/226.0.2.33:8176
湖南卫视,http://27.11.57.219:8005/udp/225.0.4.75:7980
湖南卫视,http://123.122.162.7:19999/rtp/239.3.1.18:8268
湖南卫视,http://183.66.51.205:4022/rtp/235.254.198.17:1344
湖南卫视,http://1.24.190.98:10080/hls/60/index.m3u8
